	Aatf	Aebp2	Ahctf1	Ahr	Akap8	Akna	Arid2	Arid5a	Ash1l	Atf1	Atf2	Atf4	Atf6	Bach2	Batf	Baz2a	Bbx	Bcl11b	Bptf	Cdc5l	Cebpg	Cebpz	Cenpa	Cggbp1	Chchd3	Creb1	Creb3	Crem	Ctcf	Cux1	Dmtf1	Dnmt1	Dot1l	Dr1	Drap1	E2f4	E2f8	Eea1	Elf1	Elf2	Elk3	Elk4	Ets1	Etv6	Fli1	Fosl2	Foxn3	Foxo1	Foxp1	Gabpa	Gatad2a	Glyr1	Gpbp1	Gpbp1l1	Gtf2b	Gtf2i	Gtf3a	Hif1a	Hivep2	Hivep3	Hmg20b	Hmgb1	Hmgb3	Ikzf1	Ikzf3	Irf2	Irf3	Irf4	Irf8	Jrkl	Jun	Junb	Jund	Kat7	Kcmf1	Kdm2a	Klf13	Klf6	Kmt2a	Lef1	Maf	Max	Maz	Mbd2	Mbd3	Mbnl2	Mef2a	Mga	Mlx	Mtf2	Mxd1	Myc	Mysm1	Ncoa2	Ncoa3	Nfat5	Nfatc3	Nfe2l1	Nfe2l2	Nfkb1	Nfkb2	Nfx1	Nfyb	Nme2	Nrf1	Pa2g4	Phf20	Phf21a	Pin1	Pknox1	Plagl2	Plscr1	Pou2af1	Prdm2	Preb	Prkrir	Prmt3	Pura	Purb	Rara	Rbck1	Rbpj	Rela	Rest	Rexo4	Rfx7	Rlf	Rora	Rorc	Runx1	Runx3	Safb	Safb2	Satb1	Ski	Skil	Snapc5	Son	Sp1	Sp100	Sp110	Sp3	Srebf1	Srebf2	Stat1	Stat3	Stat5a	Stat5b	Stat6	Tbpl1	Tcf12	Tcf20	Tcf3	Tcf7	Terf1	Tfdp1	Tfdp2	Thap7	Thyn1	Tigd2	Tmf1	Topors	Trp53	Trps1	Tshz1	Usf2	Vezf1	Whsc1	Xbp1	Xpa	Ybx1	Ybx3	Yy1	Zbed6	Zbtb1	Zbtb44	Zbtb7a	Zeb1	Zfp1	Zfp131	Zfp148	Zfp191	Zfp207	Zfp260	Zfp266	Zfp277	Zfp280d	Zfp292	Zfp318	Zfp322a	Zfp326	Zfp386	Zfp410	Zfp422	Zfp451	Zfp52	Zfp560	Zfp62	Zfp644	Zfp664	Zfp672	Zfp706	Zfp771	Zfp800	Zfp830	Zfp91	Zfp944	Zfx	Zhx1	Zkscan1	Zmiz1	Zrsr2	Zzz3
D8Ertd738e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3038	0	0	0	0	0	0	0	0	0	0	0	0.37693	0	0	0.57586	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085574	0	0	0	0	0	0.24541	0	0	0.5373	0	0	0	0	0	0.085574	0	0	0	0	0	-0.49874	0.52445	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55015	0.085574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0
Dad1	0	0	0	0	0	0	0	0	0	0	0.11164	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39805	0	0	0	0.19648	0	0	0	0	0	0	0.11164	0	0	0	0	0.39805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3038	0	0	0	0	-0.3699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.081774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dars	0	0	0	0	0	0	0	0	0	0	0.089374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0.085574	0	0.5116	0	0.5116	0.19648	0	0	0	0.49874	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24092	0	0	0	0	0	0	0	-0.58871	0.55015	0.29818	0	0.085574	0	0	0	0	0	0	0	0	0	0.38397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49874	0	0	0	0	0	0	0	0	0	0.15592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052706	0	0	0	0	0	0	0	0	0	0.19304	0	0	0	0	0
Dcp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042637	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39805	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	-0.55015	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0.55015	0	-0.57586	0	0	0	0	0	0	0.60156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49874	0	0.19304	0	0	0	0	0	0	0	0	0.25887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25438	0	0	0	0.045993	0	0	0	0	0	0
Dcun1d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5116	0	0	0	0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32629	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0.37693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0
Ddb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0.12251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.049349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52445	0	0	0	0	0	0	0	0.56301	0	0	0	0	0.39805	0	0	-0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0
Ddt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0	0.11164	0	0	0	0	0	0	0	0	0.52445	0	0.042637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39805	0.55015	0	0	0	0.089374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32629	0	0	0	0	0	0	0	0
Ddx1	0	0	0	0	0	0	0	0	0	0	0.16358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3038	0	0	0.077974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.62727	0	0	0	0	0	0	0	0	0.39101	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx17	0	0.12251	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0.39101	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0.49874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0.5116	0	0	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0.5373	0	0	0	0	0
Ddx18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11888	0	0	0	0	0.25887	0	0	0	0	0	0.55015	0.12251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.36286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx21	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0.37693	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0.52445	0	0	0	0.045993	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39101	0	0	0	-0.48589	-0.39101	0	0.52445	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0.39805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49874	0	0	0	0	0	0.081774	0	0	0	0.045993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48589	0	0	0	0	0	0	0	-0.5373	0.38397	0.11526	0	0	0	0	0	0	0	0	0	0	0.56301	0	0.5116	0	0	0	0	0	0	0	0	0.49874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3038	0	0	0	0	-0.14827	-0.2499	0	0	0	0	0	0	0	0	0	0	0	0	0.38397	0	0	0	0	0	0	0	0	0.5116	0	0.5373	0	0	0	0	0	0.081774	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38397	0	0	0	0	0
Ddx27	0	0	0	-0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20336	0	0	0	0	0	0	0	0.049349	0	0	0	0	0	0	0	0	0	0	0.042637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	-0.5116	0	0	0	0.56301	0	0	0	0.25438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx39	0	0	0	-0.045993	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11888	0	0	0	0	0	0	0	0	0	0	0	-0.55015	0.38397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33191	0	0	0	0.55015	0	0	0	0.3699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0
Ddx39b	0	0	0.40509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11888	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30942	0	0.077974	0	0	0	0.5116	0	0	0	0	0	0	0.5116	-0.65298	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx3x	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0.30942	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39101	0.045993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21025	0	0
Ddx46	0	0	0	0	0.52445	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0	0	0.30942	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077974	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0.52445	-0.16358	0	0	0	0.19648	0	0	0	0	0	0	0	0	0	0	0	-0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33191	0	0	0	0	0.49874	0	0	0	0.12613	0	0	0	0.16741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0.5116	0	0	0	0	0	0	0	0	0	0.11888	0	0	0	0	0	0.16358	0	0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15975	0	0.5116	0	0	0	0	0	0	0	0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deb1	0	0	0	0	0.39805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0.40509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5116	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0.56301	0.49874	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	-0.5373	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dennd2d	0	0	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0	0	0.39805	0	0	0.56301	0	0	0	0	0	0.5373	0	0	0	0	0.38397	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48589	-0.52445	0	0.55015	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0	0	0	0.37693	0	0	0	0	0	0	0	0	0.30942	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0.29818	0	0	0	0	-0.5116	-0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0.49874	0	0	0	0.58871	0	0.55015	0	0.49874	0	0	0	0	0	0	0	0	0	0	-0.55015	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0.39805	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	-0.60156	0.2499	0	0	0	0	0	0	0	0	-0.25887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0.41213	0.20336	0.20336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desi2	0	0	0.56301	0	0.58871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41213	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49874	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0.074175	0.52445	0	0	0	0	0	0	0.55015	-0.62727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0.55015	0	0	0	0	0.55015	0	0.58871	0	0.49874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0
Dgka	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0.2499	0	0	0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0.38397	0.5116	0	0.52445	0	0	0.37693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093174	0	0	0	0	0	0	0.12613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0.58871	0	0.29818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dhfr	0	0	0.31504	0	0	0	0	0	0	0	0.61442	0	0	0	0	0	0	0	0	0	0.32067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5116	0	0	0	0	0.3699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57586	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	-0.5373	0.38397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16741	0	0	0	0	0	0	0	0	0	0	0	0
Diap1	0	0	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0.31504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0.39805	0	0	0.5373	0	0	-0.56301	0	0	0	0.5116	0	0	0	0	0	0	0	0	0	0.52445	0	0.56301	0.49874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	-0.32629	0	0	0	0	0	0	0	0	0	0.089374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55015	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0.56301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57586	0
Diap3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52445	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0.38397	0	0	0.16358	0	0	0.03928	0	0	0	0	0.5373	0	0	0	0	0	0.11888	0	0	0.081774	0	0	0	0	0	0	0	0	0	0	0	0.19992	0	0	0	0	0	0	0	0	0	0	0.5373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25438	0	0	0	0	0.40509	0.5116	0	0	0	0	0.077974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30942	0	0	0	0.58871	0	0	0	0	0	0	0	0	0	0	0	0.21025	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.049349	0	0	0
